_id,Beta,q,collisionality_elec,s-hat,temp_grad_elec,temp_grad_ion,dens_grad_elec,dens_grad_ion,impurity_density,impurity_charge,alpha_MHD,Ti_over_Te,ky,collection
5f34a519bafb0f9d07b05721,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.700165718780033,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a52cbafb0f9d07b05731,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,6.038312521555154,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a53cbafb0f9d07b05741,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.883366821321278,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a54cbafb0f9d07b05751,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.6627491332776065,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a55ebafb0f9d07b05761,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.548070058507188,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a56ebafb0f9d07b05771,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,6.513305411882661,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a57fbafb0f9d07b05781,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.400093276367339,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a590bafb0f9d07b05791,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,4.970045792681369,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a5a0bafb0f9d07b057a1,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,6.421278260249938,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a5b1bafb0f9d07b057b1,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.091580660980523,2.762178367301323,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
5f34a5c2bafb0f9d07b057c1,0.000251103817620587,2.004296,0.0005782651104070646,2.8576311006810657,5.700165718780033,4.6979351371312905,0.731872117574761,0.731872117574761,0.011666667,6.0,0.0055685862559260195,0.22029114,0.24297148809066996,LinearRuns
